"i=2000, j=2, k=2000",,,,,"i=2000, j=4, k=2000",,,,"i=2000, j=8, k=2000",,,,"i=2000, j=16, k=2000",,,,"i=2000, j=32, k=2000",,,,"i=2000, j=64, k=2000",,,,"i=2000, j=128, k=2000",,,,"i=2000, j=256, k=2000",,,,"i=2000, j=512, k=2000",,,,"i=2000, j=1024, k=2000",,,,"i=2000, j=2000, k=2000",,,
P1,,P2,,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,
time,N,time,N,,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time
0.005313116,23,0.018203635,23,,23,0.034637192,23,0.018240604,23,0.005786806,23,0.000719849,23,0.023506988,23,0.038962254,23,0.0213992,23,0.032041135,23,0.041265827,23,0.000472922,23,0.076734926,23,0.028075572,23,0.129395874,23,0.000498936,23,0.282386545,23,0.000791934,23,0.659732376,23,0.000851753,23,1.850438876,23,0.000853349
0.021255264,22,0.037321658,22,,22,0.051855829,22,0.007133238,22,0.039212322,22,0.02654625,22,0.047107996,22,0.002441145,22,0.077273935,22,0.002796278,22,0.068186578,22,0.003011547,22,0.106379743,22,0.000512815,22,0.201992946,22,0.000444479,22,0.285222001,22,0.000654737,22,0.62404875,22,0.000825293,22,1.724670808,22,0.001430756
0.003650168,21,0.013124094,21,,21,0.006638177,21,0.007942104,21,0.011683253,21,0.019352511,21,0.012221678,21,0.000421389,21,0.032216151,21,0.000783791,21,0.034395239,21,0.000377105,21,0.072987687,21,0.071380697,21,0.122476295,21,0.000599527,21,0.253842514,21,0.000677329,21,0.597974505,21,0.000556975,21,1.732844151,21,0.00049293
0.003256356,20,0.011999704,20,,20,0.009220751,20,0.020109017,20,0.007880494,20,0.001680424,20,0.023318003,20,0.000326319,20,0.020290752,20,0.00045876,20,0.045098034,20,0.00094215,20,0.066475518,20,0.024918435,20,0.119247109,20,0.000647117,20,0.24496193,20,0.000684844,20,0.599219375,20,0.000707425,20,1.639503096,20,0.000891051
0.002771019,19,0.010783719,19,,19,0.009447396,19,0.000480747,19,0.007552411,19,0.002292714,19,0.011176698,19,0.006030698,19,0.020723358,19,0.013862582,19,0.037282823,19,0.000349761,19,0.066725858,19,0.00039323,19,0.110108872,19,0.000932051,19,0.236546174,19,0.000446981,19,0.556760754,19,0.000699846,19,1.731290892,19,0.006591018
0.003275199,18,0.011000129,18,,18,0.00909086,18,0.025646081,18,0.006454795,18,0.000381598,18,0.01212581,18,0.012499189,18,0.022117392,18,0.005999761,18,0.031717678,18,0.000293796,18,0.064764679,18,0.000375093,18,0.139283379,18,0.000529305,18,0.223123171,18,0.000460336,18,0.513203059,18,0.000695948,18,1.430607701,18,0.000639445
0.002466379,17,0.020529338,17,,17,0.008112439,17,0.004709295,17,0.007009746,17,0.00029435,17,0.009803909,17,0.000324846,17,0.015214665,17,0.000328676,17,0.035021449,17,0.006822722,17,0.064462065,17,0.000368177,17,0.113478032,17,0.000637758,17,0.22156773,17,0.000334673,17,0.481370799,17,0.00059866,17,0.971949809,17,0.000475592
0.021733877,16,0.000534183,16,,16,0.006040727,16,0.025472831,16,0.006381684,16,0.015308937,16,0.012721104,16,0.000277527,16,0.022407291,16,0.000299998,16,0.028987382,16,0.000300518,16,0.056241671,16,0.009459592,16,0.10439892,16,0.000331812,16,0.200370397,16,0.000539831,16,0.456224826,16,0.000565434,16,0.974316068,16,0.000645508
0.064139657,15,0.003217471,15,,15,0.031680131,15,0.014644412,15,0.038109917,15,0.000258766,15,0.033161449,15,0.025601302,15,0.03523398,15,0.002627415,15,0.067634535,15,0.000246383,15,0.095881897,15,0.000287273,15,0.111983661,15,0.000526756,15,0.195663583,15,0.000301944,15,0.424645979,15,0.00070291,15,0.863526713,15,0.000637959
0.004295932,14,0.007842781,14,,14,0.005265814,14,0.000345787,14,0.007361792,14,0.019622755,14,0.009334782,14,0.000303138,14,0.01548569,14,0.008849087,14,0.042181219,14,0.000425767,14,0.050347592,14,0.000250135,14,0.087483493,14,0.000436022,14,0.217101082,14,0.000490733,14,0.407978642,14,0.000474979,14,0.804689636,14,0.000568459
0.003543731,13,0.001820724,13,,13,0.005313983,13,0.002541295,13,0.005639685,13,0.022029448,13,0.007410317,13,0.026327155,13,0.016818751,13,0.004380617,13,0.030686866,13,0.001530701,13,0.052540624,13,0.000253495,13,0.093064028,13,0.000398152,13,0.171215147,13,0.000442624,13,0.396872163,13,0.000522555,13,0.715652544,13,0.000470923
0.005569904,12,0.000370376,12,,12,0.005622293,12,0.000433499,12,0.005872656,12,0.000244888,12,0.007220866,12,0.000223554,12,0.016708522,12,0.000246574,12,0.029139196,12,0.000219708,12,0.044488795,12,0.000219337,12,0.080916513,12,0.000363364,12,0.174301512,12,0.000261888,12,0.351516448,12,0.000490216,12,0.715465007,12,0.000637992
0.001663181,11,0.000354283,11,,11,0.003980172,11,0.000637602,11,0.014176559,11,0.00033873,11,0.009961216,11,0.00020604,11,0.012857193,11,0.000213603,11,0.025814894,11,0.000324692,11,0.04198631,11,0.000241669,11,0.077923808,11,0.000296715,11,0.165688362,11,0.000276266,11,0.33755672,11,0.000276259,11,0.667393423,11,0.000366784
0.032901947,10,0.000977239,10,,10,0.032805401,10,0.000255714,10,0.042523438,10,0.000177719,10,0.038112639,10,0.000171833,10,0.038653342,10,0.000171976,10,0.045181896,10,0.000216007,10,0.065281015,10,0.000169244,10,0.094848839,10,0.00020219,10,0.160922346,10,0.000421039,10,0.318949632,10,0.01761583,10,0.581439404,10,0.000395106
0.001644285,9,0.000259087,9,,9,0.004563708,9,0.00107381,9,0.004055572,9,0.000980493,9,0.009224423,9,0.000154919,9,0.010210713,9,0.00026575,9,0.024899221,9,0.000155972,9,0.038325152,9,0.000280183,9,0.07314394,9,0.00024071,9,0.15155376,9,0.000346724,9,0.26987794,9,0.000332581,9,0.591468769,9,0.000311159
0.002642999,8,0.001106791,8,,8,0.003546803,8,0.000171526,8,0.003599643,8,0.000184611,8,0.007081176,8,0.000338645,8,0.012786557,8,0.000302049,8,0.019832673,8,0.000158936,8,0.034631548,8,0.000139742,8,0.072058546,8,0.000252408,8,0.1289357,8,0.000374179,8,0.296793698,8,0.000266234,8,0.487544604,8,0.000303735
0.001615682,7,0.000218158,7,,7,0.004231609,7,0.000227842,7,0.002884807,7,0.000131909,7,0.004617539,7,0.000232087,7,0.025985821,7,0.000165844,7,0.018160581,7,0.000136756,7,0.03328582,7,0.000148509,7,0.074760761,7,0.000203429,7,0.114442334,7,0.000244745,7,0.250118366,7,0.00025821,7,0.501151502,7,0.000270303
0.001302584,6,0.000256652,6,,6,0.002112262,6,0.000162267,6,0.002843113,6,0.000111604,6,0.005043924,6,0.000134652,6,0.024540536,6,0.000148082,6,0.015692953,6,0.000193962,6,0.033208931,6,0.000132497,6,0.064493782,6,0.000134117,6,0.113049621,6,0.000263833,6,0.234541292,6,0.000223199,6,0.487757847,6,0.000211015
0.001197624,5,0.000187647,5,,5,0.002034556,5,0.000162408,5,0.002778852,5,0.000185009,5,0.004905716,5,0.00011098,5,0.012447727,5,0.000104192,5,0.014591771,5,0.000167059,5,0.029009638,5,0.000149192,5,0.048452282,5,0.000175528,5,0.121898591,5,0.000098728,5,0.218913314,5,0.000135613,5,0.365677325,5,0.000147367
0.001368414,4,0.000123128,4,,4,0.001845796,4,0.000199318,4,0.004129931,4,0.000091442,4,0.007077822,4,0.000100932,4,0.009562622,4,0.00028584,4,0.013086475,4,0.000072301,4,0.025830838,4,0.000103413,4,0.047736587,4,0.000131363,4,0.081205264,4,0.000271542,4,0.204377746,4,0.00014451,4,0.350526585,4,0.000080189
0.000864291,3,0.000090406,3,,3,0.001555832,3,0.000090755,3,0.002415396,3,0.000094704,3,0.004545137,3,0.000065566,3,0.008192,3,0.000082464,3,0.012120574,3,0.000092367,3,0.040567147,3,0.000099612,3,0.047343744,3,0.000082199,3,0.074152931,3,0.000074472,3,0.228122429,3,0.000084389,3,0.295773001,3,0.000178461
0.001135406,2,0.000075841,2,,2,0.001484743,2,0.000100396,2,0.002021451,2,0.000076599,2,0.006229823,2,0.000061871,2,0.008030748,2,0.000067828,2,0.011204885,2,0.000173735,2,0.028668432,2,0.000211446,2,0.075231008,2,0.00012323,2,0.085406444,2,0.000086374,2,0.173821973,2,0.000348045,2,0.322748543,2,0.000143996
0.000709923,1,0.000038733,1,,1,0.009433122,1,0.000072289,1,0.002174728,1,0.000068827,1,0.007923899,1,0.000074704,1,0.008961301,1,0.000061677,1,0.013222333,1,0.000075372,1,0.024615627,1,0.000118308,1,0.073846233,1,0.00007634,1,0.153286504,1,0.000060012,1,0.179731913,1,0.00007216,1,0.300415007,1,0.000077733
0.011435594,30.5,0.0249250971,30.5,,30.5,0.01752176843,30.5,0.02549375718,30.5,0.01823963972,30.5,0.02236279042,30.5,0.0241704331,30.5,0.02693093208,30.5,0.03440204287,30.5,0.03536093952,30.5,0.05455522217,30.5,0.03967774568,30.5,0.09989369437,30.5,0.03920712052,30.5,0.187699447,30.5,0.05736463275,30.5,0.4649257907,30.5,0.01672637877,30.5,1.112826499,30.5,0.1059626588,30.5,2.35418555,30.5,0.0198078967
